parset,parset_name,sens_type,sens_value,REGION6,subpop,peak_prevalence,time_to_peak,final_attack_rate,time_to_est,epidemic_duration
11,sar_0.3,sar,0.3,1,A,0.012443517430004802,75,0.2413456218732992,6,193
11,sar_0.3,sar,0.3,1,C,0.0047658019438063795,110,0.12178971176635207,20,186
11,sar_0.3,sar,0.3,2,A,0.012296687411765417,75,0.24004122231624253,6,195
11,sar_0.3,sar,0.3,2,C,0.004429123902746279,111,0.11666420235674997,21,187
11,sar_0.3,sar,0.3,3,A,0.008446203092395427,90,0.19781687868791303,8,201
11,sar_0.3,sar,0.3,3,C,0.0044344766047943445,112,0.11724119578216703,21,187
11,sar_0.3,sar,0.3,4,A,0.012183260001288387,81,0.23081912937995586,7,179
11,sar_0.3,sar,0.3,4,C,0.006957457800551803,99,0.147141733611521,15,175
11,sar_0.3,sar,0.3,5,A,0.014158793703115749,74,0.2524218123458614,5,180
11,sar_0.3,sar,0.3,5,C,0.0063839408523348835,100,0.13880748908175203,17,175
11,sar_0.3,sar,0.3,6,A,0.019609567070458647,66,0.28423307135179265,5,157
11,sar_0.3,sar,0.3,6,C,0.010107927890856688,87,0.17349182860839302,12,158
12,sar_0.5,sar,0.5,1,A,0.016336512316117987,63,0.26533112165708556,4,184
12,sar_0.5,sar,0.5,1,C,0.004967748349937729,106,0.12296658229753377,19,182
12,sar_0.5,sar,0.5,2,A,0.01672694010430465,62,0.2665351128735146,3,185
12,sar_0.5,sar,0.5,2,C,0.004602569075871794,107,0.11730885574906859,20,183
12,sar_0.5,sar,0.5,3,A,0.009447974059419741,82,0.2090877484350611,6,199
12,sar_0.5,sar,0.5,3,C,0.004417606479845194,111,0.11591445493018412,21,185
12,sar_0.5,sar,0.5,4,A,0.014810394632192785,70,0.2510065715096481,4,171
12,sar_0.5,sar,0.5,4,C,0.007707533351655528,94,0.1526366942313523,13,169
12,sar_0.5,sar,0.5,5,A,0.01982343840320893,60,0.28540890106305206,3,167
12,sar_0.5,sar,0.5,5,C,0.0068998388461550784,94,0.14136183385325107,15,169
12,sar_0.5,sar,0.5,6,A,0.028407924024740225,52,0.3227374109964997,3,139
12,sar_0.5,sar,0.5,6,C,0.012494248393037146,77,0.18722261533333343,9,146
13,sar_0.6,sar,0.6,1,A,0.017823660735392904,59,0.2718998464819101,3,181
13,sar_0.6,sar,0.6,1,C,0.005044283868890164,105,0.12331229173113992,18,181
13,sar_0.6,sar,0.6,2,A,0.01845352065004952,58,0.27379541746116365,3,181
13,sar_0.6,sar,0.6,2,C,0.004666066194483084,105,0.11747014995029487,19,181
13,sar_0.6,sar,0.6,3,A,0.009818526466821615,79,0.21239669317972149,5,197
13,sar_0.6,sar,0.6,3,C,0.004414672539726964,110,0.11537632955575562,20,185
13,sar_0.6,sar,0.6,4,A,0.01577811378337124,67,0.2567477555837795,4,167
13,sar_0.6,sar,0.6,4,C,0.007988441358855623,92,0.15435075069243723,13,166
13,sar_0.6,sar,0.6,5,A,0.02216145834315234,55,0.2945626728652389,2,163
13,sar_0.6,sar,0.6,5,C,0.007078528258898628,92,0.14206676837899707,15,166
13,sar_0.6,sar,0.6,6,A,0.03185009866875334,47,0.33273734378840997,2,133
13,sar_0.6,sar,0.6,6,C,0.013379309516280212,73,0.19139489085695208,8,142
14,fold_1,fold,1,1,A,0.013712164900265668,71,0.2508058906967746,5,190
14,fold_1,fold,1,1,C,0.004813128278167329,109,0.12201705424978065,20,185
14,fold_1,fold,1,2,A,0.013745830601805236,70,0.2505564537315619,5,192
14,fold_1,fold,1,2,C,0.004469589440124414,110,0.11670290354812649,21,185
14,fold_1,fold,1,3,A,0.008726594815837893,88,0.20156774020031432,7,201
14,fold_1,fold,1,3,C,0.004405309656724979,112,0.1165656118985563,21,187
14,fold_1,fold,1,4,A,0.013028844429489057,77,0.23847635907073542,6,177
14,fold_1,fold,1,4,C,0.007172339452230633,98,0.14885935833244873,15,173
14,fold_1,fold,1,5,A,0.016139216479227707,68,0.2665475187228883,4,176
14,fold_1,fold,1,5,C,0.0065373850693819435,98,0.13949431314006117,16,173
14,fold_1,fold,1,6,A,0.02267538474734033,61,0.30094496576114,4,151
14,fold_1,fold,1,6,C,0.010863417939464623,84,0.17827206942744636,11,154
15,fold_3,fold,3,1,A,0.01492694539868716,67,0.2577206250687213,4,188
15,fold_3,fold,3,1,C,0.004889019221820204,108,0.12245165311955851,19,184
15,fold_3,fold,3,2,A,0.015099215178258477,67,0.25811898286879054,4,189
15,fold_3,fold,3,2,C,0.004533695286802269,109,0.11696104181226658,21,184
15,fold_3,fold,3,3,A,0.009112081241978704,85,0.2056250606856969,7,199
15,fold_3,fold,3,3,C,0.004410024483865264,111,0.11618147700549453,21,186
15,fold_3,fold,3,4,A,0.013910897966950386,74,0.24466581131961943,5,174
15,fold_3,fold,3,4,C,0.007457714006706368,96,0.15090909097113805,14,171
15,fold_3,fold,3,5,A,0.017584169053553738,65,0.27433359660679235,4,172
15,fold_3,fold,3,5,C,0.006721318811411288,97,0.14053896117166792,16,171
15,fold_3,fold,3,6,A,0.02511190896644716,57,0.3104607201160406,3,145
15,fold_3,fold,3,6,C,0.011710567010197919,80,0.18313491093834974,10,150
16,gamma_0.3333,gamma,0.3333333333333333,1,A,0.014526817542495839,41,0.2556480669655462,3,112
16,gamma_0.3333,gamma,0.3333333333333333,1,C,0.004876151411817099,65,0.12256560088425528,12,110
16,gamma_0.3333,gamma,0.3333333333333333,2,A,0.014646640191223047,41,0.2558397892361876,3,113
16,gamma_0.3333,gamma,0.3333333333333333,2,C,0.004524698792454549,65,0.11716640096337282,13,110
16,gamma_0.3333,gamma,0.3333333333333333,3,A,0.008989836400890957,51,0.2044842684632571,4,120
