GEOID,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,peak_prevalence_ratio,attack_rate_ratio,time_to_peak_diff
05039,2,0.09035964419299349,0.0587762788590515,0.7220557998453409,0.5450878407666971,44,56,1.5373488411826903,1.324659524288284,-12
05041,2,0.10114252977022052,0.0705731013336534,0.7367749431195223,0.5820545868249707,42,50,1.433159771341802,1.2658176050781256,-8
05043,2,0.09023443335592315,0.06184471191748879,0.7208242403819005,0.5607137863324041,44,55,1.4590484870608018,1.2855475608987064,-11
05045,2,0.08844425438535818,0.06211314419750455,0.7211532748358152,0.5692162211277606,45,56,1.4239217081673914,1.2669232675889472,-11
05047,2,0.0934818941205876,0.06459446197071689,0.7272510168501115,0.5695936248006539,43,54,1.447212210900781,1.2767892497122566,-11
05049,2,0.09837373478077777,0.06774090960462337,0.7361621628228627,0.5771168866390771,42,52,1.4522056960106673,1.275585899262121,-10
05051,2,0.08638815558420461,0.05753469872863449,0.7167756298914849,0.5480464680962845,45,57,1.5014966184434024,1.307873823877206,-12
05053,2,0.0855712039334347,0.05796233374456674,0.7129428942561211,0.549606336870311,46,57,1.4763243369484922,1.2971882717290288,-11
05055,2,0.09109752097310296,0.06337385083734523,0.7233592827065973,0.568363611004095,44,55,1.4374622935082966,1.272705128726803,-11
05057,2,0.09072961009174432,0.05983705190382456,0.71765738268118,0.5451917608915605,44,55,1.5162780786321666,1.316339376639852,-11
05059,2,0.08876886091284289,0.06124788945737289,0.7214156837243483,0.5635824259936411,45,56,1.4493374661444287,1.2800535475399797,-11
05061,2,0.0985381115261657,0.06893630259763867,0.7306052826799508,0.5769387380574248,42,51,1.4294081320447989,1.2663481137354848,-9
05063,2,0.0926200850564325,0.06567694328556258,0.7287104618454525,0.579867864848017,44,54,1.4102374505116881,1.2566836447066214,-10
05065,2,0.08870146708298561,0.05798303514717331,0.7169044557128754,0.5418360144959697,44,56,1.5297830970359239,1.3231022607084526,-12
05067,2,0.08806474458324741,0.05786062103389788,0.714062707173849,0.5406545763436408,45,56,1.5220151980680319,1.320737377278741,-11
05069,2,0.0858359674626566,0.05645931599049119,0.7167199238706434,0.5439879846788034,45,58,1.5203153980312654,1.3175289603019986,-13
05071,2,0.09771574926481386,0.0699329852949009,0.7349834492000331,0.5891254913260591,43,52,1.397276962405589,1.2475838510156185,-9
05073,2,0.0867298840979031,0.05518889581998636,0.7063802994810147,0.5235520253809716,45,56,1.5715096815996514,1.34920746217533,-11
05075,2,0.09301350902943202,0.06436365923751125,0.7237545065257269,0.5668485796977406,44,54,1.4451246267120808,1.2768039516155318,-10
05077,2,0.09242331886471591,0.05869341117035469,0.7133665046625964,0.5281014222510335,43,54,1.574679627947707,1.350813450988013,-11
05079,2,0.08617105557624002,0.05712496631446807,0.7110542867997596,0.5409608473886941,45,57,1.5084657573691285,1.314428373572938,-12
05081,2,0.0877934489969812,0.05960633068673936,0.7191272753742273,0.5564485212272114,45,57,1.4728879967193256,1.2923518491669963,-12
05083,2,0.09590564591206836,0.06844600368777014,0.730834108525432,0.5842196037509049,43,52,1.4011869319582304,1.2509578655581017,-9
05085,2,0.09270382352596282,0.06699486863519394,0.7269768356128224,0.5848720601012793,44,54,1.383745134732056,1.2429672832840324,-10
05087,2,0.09375511423033264,0.06618227368156097,0.7260668672610973,0.5758170221099917,44,53,1.4166197233029443,1.2609333162825551,-9
05089,2,0.07686296343581356,0.04623081659432314,0.6980141640274089,0.5018554413443779,47,64,1.6625915157477849,1.3908669838421162,-17
05091,2,0.0885592648558894,0.05945497901118674,0.7232663619750475,0.5568336450309864,44,57,1.48951805767565,1.2988912728770179,-13
05093,2,0.09290027885580043,0.06384679391727478,0.724692635003222,0.5653934937581636,44,54,1.4550500214023239,1.2817491587782501,-10
05095,2,0.10296310044370433,0.06707051869902708,0.7400125817981819,0.5618468986591434,41,51,1.5351469235796726,1.3171071755744024,-10
05097,2,0.08210104638610656,0.05116345744062866,0.69952155301662855,0.511356471814794,46,59,1.6046813583968331,1.367972425447243,-13
05099,2,0.08975584523173183,0.05968517716989145,0.7243271832833114,0.554681444357944,44,56,1.5038213755526844,1.3058435443459553,-12
05101,2,0.07739204765457029,0.04647372862365536,0.6959883865612735,0.49917483970145304,47,63,1.665285957175757,1.3942777784584073,-16
05103,2,0.08085481504006146,0.05145520389431722,0.7069528524008599,0.5251411852879678,46,61,1.5713632231664556,1.3462148317565177,-15
05105,2,0.0962290615313877,0.06944470630983395,0.7309476511315726,0.5883742431076251,43,52,1.385693260794464,1.242317555015521,-9
05107,2,0.09219608941004026,0.06119073856851984,0.7257370972426278,0.5549522907597051,43,55,1.5067000589770856,1.307746826757172,-12
05109,2,0.09517003298841024,0.06674087405674164,0.73074008710862,0.5780641292995126,43,53,1.4259632396707713,1.2641159519690617,-10
05111,2,0.0896456099782548,0.06071518713026706,0.718366884903308,0.5545031968246027,45,55,1.4764940077663973,1.2955144154570812,-10
05113,2,0.09164553235013265,0.06190284909797252,0.7220027039474987,0.5572233753101413,44,54,1.4804735757006422,1.2957150326754399,-10
05115,2,0.08926545440632366,0.06166421132774896,0.7218229593583334,0.5643449677485836,45,56,1.4476055475983054,1.2790456203374998,-11
05117,2,0.08452850763404676,0.05331719289770464,0.705694069542198,0.5203352233358279,46,58,1.5853893095276927,1.356229672513902,-12
05119,2,0.08411147077102897,0.05415006805854684,0.7158229032254618,0.5369186756940194,45,59,1.5533031404519748,1.333205447361635,-14
05121,2,0.0970700149828272,0.06896454264644983,0.7352062404970379,0.5868632593805118,43,52,1.407535108011395,1.2527726497533953,-9
05123,2,0.09073033333134412,0.06121132622236221,0.7240566991473744,0.558847060514755,44,55,1.4822474684137426,1.295625852412008,-11
05125,2,0.08565337988940422,0.05915594395125335,0.7155958288485047,0.5582749384652674,46,57,1.4479251647135531,1.2817982315590275,-11
05127,2,0.09302766556066298,0.06386815696015542,0.7234056240773397,0.5638082431268099,44,54,1.4565578527449745,1.2830703220396755,-10
05129,2,0.08732595710111907,0.05824748847711517,0.7110168100643003,0.5425044254471494,45,56,1.4992227027166765,1.310619373248905,-11
