r0,sar_crowded,fold_diff,gamma,beta,target_final_size,simulated_final_size,iterations
2,0.6,2,0.1,0.15270361328124998,0.7968121299824948,0.7965556430776058,11
3,0.6,2,0.1,0.25172558593749994,0.9404797906997701,0.9403681984598924,10
1.2,0.6,3,0.1,0.07593719482421875,0.31369833146170056,0.3138170960079728,14
1.5,0.6,3,0.1,0.1040462646484375,0.5828116437565659,0.582993508008329,13
2,0.6,3,0.1,0.15270361328124998,0.7968121299824948,0.7971297650226382,11
3,0.6,3,0.1,0.25172558593749994,0.9404797906997701,0.9404767026296889,10
1.2,0.2,1,0.2,0.15784985351562497,0.31369833146170056,0.3136165990135026,13
1.5,0.2,1,0.2,0.21418994140624997,0.5828116437565659,0.5823341950165155,12
2,0.2,1,0.2,0.3112607421875,0.7968121299824948,0.7964064517444926,11
3,0.2,1,0.2,0.5093046875,0.9404797906997701,0.9403073967740451,8
1.2,0.2,2,0.2,0.15784985351562497,0.31369833146170056,0.3136165670878895,13
1.5,0.2,2,0.2,0.21418994140624997,0.5828116437565659,0.5823409165365298,12
2,0.2,2,0.2,0.3112607421875,0.7968121299824948,0.7964063640233592,11
3,0.2,2,0.2,0.5093046875,0.9404797906997701,0.9403087523646162,8
1.2,0.2,3,0.2,0.15784985351562497,0.31369833146170056,0.31361670059105423,13
1.5,0.2,3,0.2,0.21418994140624997,0.5828116437565659,0.5823340947430378,12
2,0.2,3,0.2,0.3112607421875,0.7968121299824948,0.7964083895916793,11
3,0.2,3,0.2,0.5093046875,0.9404797906997701,0.9403072451824047,8
1.2,0.3,1,0.2,0.156386474609375,0.31369833146170056,0.31352739677737673,13
1.5,0.3,1,0.2,0.2127265625,0.5828116437565659,0.5829365311417672,8
2,0.3,1,0.2,0.30979736328124996,0.7968121299824948,0.796859486640374,12
3,0.3,1,0.2,0.5093046875,0.9404797906997701,0.9409508673266757,8
1.2,0.3,2,0.2,0.156142578125,0.31369833146170056,0.31411472307433574,10
1.5,0.3,2,0.2,0.21223876953124998,0.5828116437565659,0.5823478479444264,12
2,0.3,2,0.2,0.30930957031249995,0.7968121299824948,0.7965784836555988,11
3,0.3,2,0.2,0.507353515625,0.9404797906997701,0.9403702586120727,10
1.2,0.3,3,0.2,0.15589868164062498,0.31369833146170056,0.3140427419497055,13
1.5,0.3,3,0.2,0.21223876953124998,0.5828116437565659,0.5831000843116866,12
2,0.3,3,0.2,0.30930957031249995,0.7968121299824948,0.7968525020063548,11
3,0.3,3,0.2,0.507353515625,0.9404797906997701,0.9404325734015279,10
1.2,0.4,1,0.2,0.1551669921875,0.31369833146170056,0.3136810075323962,11
1.5,0.4,1,0.2,0.21126318359375001,0.5828116437565659,0.5826171551332928,12
2,0.4,1,0.2,0.308333984375,0.7968121299824948,0.7968578055377508,10
3,0.4,1,0.2,0.5054023437499999,0.9404797906997701,0.94013297891234,9
1.2,0.4,2,0.2,0.1545572509765625,0.31369833146170056,0.3134917457767628,14
1.5,0.4,2,0.2,0.210775390625,0.5828116437565659,0.5827695713138219,10
2,0.4,2,0.2,0.30784619140625,0.7968121299824948,0.7968132040674882,12
3,0.4,2,0.2,0.5054023437499999,0.9404797906997701,0.9402688748784893,9
1.2,0.4,3,0.2,0.15419140625,0.31369833146170056,0.3137639375739508,9
1.5,0.4,3,0.2,0.21028759765625,0.5828116437565659,0.5823818933469419,12
2,0.4,3,0.2,0.3073583984375,0.7968121299824948,0.7965842132847322,11
3,0.4,3,0.2,0.5054023437499999,0.9404797906997701,0.9403623780163735,9
1.2,0.5,1,0.2,0.15419140625,0.31369833146170056,0.31399457525698726,9
1.5,0.5,1,0.2,0.21028759765625,0.5828116437565659,0.583091033272665,12
